Unnamed: 0,Unnamed: 0.1,id,type,date,betterDate,title,abstract
831,864,31.4,Mail,2017-09-08 00:00:00,2017-09-08 10:14:11,    Aantal zienswijzen ,"


Date : 8-9-2017 10:14:11 

F EE 

To : ""2 ge me entenoorde nveld.nl'""' MN} ze mee nte noorde nveld.nl, ""BK aaenhunze.nl'"" EK aac nhuuze.nl, 
B eee note N oordenveld.nl, ""Ba aenhunze.nl'"" ME aae nhunze.nl, MK) tynaarlo.nl’” ME tynaarlo.nl, 
VN ani de ndrenthe.nl, 'M@ provinciegroningen.nl’"" BEK provincie groningen.nl, ""ME noorderzijlvest.nl""""' 
BO noorderzijkves t.nl. ""EK öleeknl"" leek nl, NK hunze e naas. ol” MK 2 hunzeenaas.nl, MN ‚dre nthe.nl""""' 
B ‚cire nthe.nl, EN AME cre nithe.nl, * ass en.nl 

nn C 
Subject : Aantal ziens wijzen 

Goedemorgen, 

Een raadslid uit Assen heeft bij EZ geïnformeerd naar het aantal zienswijzen dat is ingediend op het ontwerp-instemmingsbesluit Winningsplan Westerveld. Het antwoord van EZ: 

Op het ontwerp-instemmingsbesluit zijn binnen de inspraaktermijn 926 zienswijzen binnengekomen, waarvan 83 uniek, en 11 reacties van overheden. 

Met vriendelijke groet, 

nn 

ed 

| 

| 

CEES 

Gemeente Assen 

Postbus 30018 

9400 RA Assen 

Disclaimer: 
Aan de informatie in deze e-mail en ieder aangehecht databestand kunnen geen rechten worden ontleend. De e-mail is vertrouwelijk en is uitsluitend bestemd voor de geadresseerde. De gemeente Assen aanvaardt geen 
aansprakelijkheid voor schade als gevolg van onjuistheden, gedateerde informatie of van een onjuiste en onvolledige verzending en ontvangst van informatie.


"
1157,1190,31.197,Mail,2017-05-08 00:00:00,2017-05-08 08:03:29,RE  memo college mei 2017 ,"


Date : 8-5-2017 08:03:29 
From : Ns en.‚nl 
To : ""ss eon), asss enol 
Cc : ss e.d, Ns se n-nl 
Subject : RE: memo college mei 2017 

Beste Marco en Harmke, 

We hebben straks om 12.30 uur een voorbespreking van het bestuurlijk overleg van 11 mei. 

@Harmke. Kun jij dan aanschuiven? 

Groet, 

mn 

Van: Marco Out 

Verzonden: maandag 8 mei 2017 7:26 

Aan: EN ©: <sen…n | > 

CC: EN @ Ss nn (>; N= ssennl >: NN @ =ssen.nl> 
Onderwerp: Fwd: memo college mei 2017 

Beste ND, 

Memo is wat mij betreft akkoord. 

De krappe voorbereidingstijd kan wat mij betreft niet leiden tot een latere raadsbehandeling. 

Ik vind het een goed voorstel om niet “overhaast” te reageren om de NAM-voornemens. 

Donderdag zal Harmke het gesprek met de Drentse collega's doen. 

Het lijkt me goed om voor die tijd de koppen even bij elkaar te steken. 

Groet, 

Marco 

Verstuurd vanaf mijn iPad 

Begin doorgestuurd bericht: 

Van: ©: cn 

Datum: 5 mei 2017 16:00:51 CEST 

Aan: Marco Out <M.Out@assen.nl> 

Kopie: assen.nl>, ©: en | 

Onderwerp: memo college mei 2017 

Dag Marco, 



  
31.197 
    

Bijgevoegd vind je een concept memo over de gaswinning voor het college van a.s. dinsdag. Ben je heter mee eens dat ik het memo in het college breng? Ben je het 

eens met de inhoud van het memo? 

