Unnamed: 0,Unnamed: 0.1,id,type,date,betterDate,title,abstract
691,724,16.1308,Mail,2018-02-27 00:00:00,,Fwd  Vraag over put Vries-10 ,"


A 
Toe ine tl, ‘ss en.nl 
Subject : Fwd: Vraag over put Vries-10 

nn 

Het is mij bij NAM per telefoon nog steeds niet gelukt, dus nu maar een nail naar afd. Communicatie. Zie hieronder. 

Met hartelijke groet, 

Begin doorgestuurd bericht: 

Van: telfort.nl> 

Onderwerp: Vraag over put Vries-10 
Datum: 27 februari 2018 12:19:25 CET 

Aan: nam-communicatie@shell.com 

Beste NAM-communicatie-medewerkers, 

Sinds 16 februari jl. probeer ik bijna elke dag tevergeefs de heer BEN contactpersoon voor de ""land-locaties (m.u.v. Groningen gasveld)"", telefonisch te bereiken. Ik 
spreek elke keer zijn voicerrail in. 
De heer B ef nij een keer teruggebeld, naar toen kreeg hij ons antwoordapparaat en heeft hij dat op zijn beurt ingesproken. Daarvoor had ik al contact gehad 
met de afdeling Communicatie met de vraag wat de beste manier zou zijn om een antwoord op mijn vraag te krijgen. Daarom wend ik mij opnieuw tot jullie, 

Mijn vraag is heel concreet: wanneer denkt NAM de grenzen van het nog geldende winningsplan voor put Vries- 10 te bereiken? 

Er zit op het Ministerie EZ weinig schot in de procedure voor het nieuwe winningsplan, vandaar mijn vraag, 

Ik hoop dat NAM mijn vraag zo spoedig mogelijk per mail kan beantwoorden. 

Met vriendelijke groet, 



Cc: MN te lfort.nl


"
522,555,2.40,Mail,2018-06-24 00:00:00,2018-06-24 15:41:57,FW Bestuurlijke bijeenkomst  Transitieagenda gasbesluit Drenthe 27 juni ,"




Date : 24-6-2018 15:41:57 2.40 

rm: 
To : “Judith Jansen!’ J.Jansen@assen.nl 
Subject : FW: Bestuurlijke bijeenkomst Transitieagenda gasbesluit Drenthe, 27 juni 

Attachment : 2-pager Provincie Drenthe _PR.pdf;180622 Conceptrapport impactanalyse en ontwikkelperspectief.docxsimage001.png; 



Dag Judith, 

Vrijdag middag is zowel het conceptrapport als bijgaande oplegger nog verstuurd. Ik zie nu pas dat jij niet in de CC bent meegenomen. Bij deze. 

Overigens is de oplegger gelijk ook de intentieverklaring waarvan de provincie de stakeholders vraagt om hiermee in te stemmen. 

Groet, 

Van: EN ai cc Me drenthe.nll 

Verzonden: vrijdag 22 juni 2018 15:00 

Aan: EEE shel con @ shell .com?>; ‘eveenstra@rendo.nl' <eveenstra@rendo.nl>; 'a.bruinsslot@drenthecollege.nl' <a.bruinsslot@drenthecollege.nl>; 

'b.arends@emmen.nl' <b.arends@emmen.nl>; Roald Leemrijse <R.Leemrijse @assen.nl> 

CC nn | el nn 

nn nn ed A nn 

MN << ent he.nl > 

Onderwerp: Bestuurlijke bijeenkomst Transitieagenda gasbesluit Drenthe, 27 juni 

Geachte mevrouw, mijnheer, 

Hierbij wil ik graag de bestuurlijke bijeenkomst over de transitieagenda gasbesluit Drenthe bevestigen. 

Deze vindt plaats op woensdag 27 juni, van 9.00-10.00 uur, in het provinciehuis in Assen. 

Het versneld beëindigen van de gaswinning heeft gevolgen voor de NAM in Assen, maar ook voor de overige gasgerelateerde bedrijvigheid in Drenthe. Op verzoek van de 

provincie Drenthe heeft Berenschot in een kort tijdsbestek een impactanalyse uitgevoerd om een beter beeld te krijgen van de mogelijke effecten. Op basis van een 

stakeholderconsultatie is gekeken welke ontwikkelperspectieven er zijn voor economische structuurversterking en duurzame energievoorziening. De resultaten van het 

onderzoek en de consultatie vindt u in het concept eindrapport. Op basis van de bevindingen willen wij een oproep doen aan het Rijk om te erkennen dat er een gezamenlijke 

opgave ligt voor Rijk en regio. Deze oproep vindt u in bijgevoegde ‘2-pager’. 

